scenario_label,0.005,0.05,0.5
Aleatorio equilibrado,3002.369 +/- 2.768,3002.369 +/- 2.768,3002.369 +/- 2.768
CPU-bound,1999.862 +/- 1.602,1999.862 +/- 1.602,1999.862 +/- 1.602
I/O-bound,5499.319 +/- 3.357,5499.319 +/- 3.357,5499.319 +/- 3.357
Prioridades desbalanceadas,3000.866 +/- 2.724,3000.866 +/- 2.724,3000.866 +/- 2.724
