scenario_label,0.005,0.05,0.5
Aleatorio equilibrado,18.852 +/- 0.291,37.897 +/- 0.328,43.012 +/- 0.375
CPU-bound,37.084 +/- 0.252,54.996 +/- 0.317,56.767 +/- 0.352
I/O-bound,70.120 +/- 0.357,70.126 +/- 0.357,70.193 +/- 0.358
Prioridades desbalanceadas,13.777 +/- 0.290,37.997 +/- 0.347,42.864 +/- 0.393
