scenario_label,0.005,0.05,0.5
Aleatorio equilibrado,300.315 +/- 7.201,305.757 +/- 7.169,305.902 +/- 7.155
CPU-bound,323.907 +/- 5.989,306.115 +/- 5.350,297.214 +/- 5.265
I/O-bound,143.037 +/- 1.133,143.046 +/- 1.133,143.166 +/- 1.134
Prioridades desbalanceadas,297.551 +/- 6.904,305.310 +/- 6.895,305.151 +/- 6.878
