scenario,scenario_label,algorithm,algorithm_label,metric,metric_label,mean,ci95,n_seeds,n_processes,quantum,context_switch_cost,io_devices
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),95.81645879800001,0.27810259347667016,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),3379.971647643,86.72757648396782,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),380.426473408,6.039931294316088,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),296.988739332,5.305969198384925,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),599.5773413740001,14.137256674596888,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),3392.88521753,87.11310465450248,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),context_switches,Trocas de contexto,1999.862,1.6022748149903474,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,context_switches,Trocas de contexto,1999.862,1.6022748149903474,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,context_switches,Trocas de contexto,1999.862,1.6022748149903474,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,context_switches,Trocas de contexto,13093.809,16.11546812434119,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),jain_slowdown,Indice de Jain do slowdown (%),54.996032704,0.3170043095218528,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,jain_slowdown,Indice de Jain do slowdown (%),56.61918286,0.34798472962014304,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,jain_slowdown,Indice de Jain do slowdown (%),15.749047398999998,0.32661241648355427,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,jain_slowdown,Indice de Jain do slowdown (%),77.21148865800001,0.524803446506017,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),2.867802851,0.021783496121350117,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),2.874663458,0.021814237012636937,1000,1000,4,1,1
io_bound,I/O-bound,priority,Prioridade,avg_slowdown,Slowdown medio (auxiliar),2.8701206759999995,0.021792724121663,1000,1000,4,1,1
io_bound,I/O-bound,rr,Round Robin,avg_slowdown,Slowdown medio (auxiliar),2.936528619,0.021866977034237824,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround,Turnaround medio,143.04599900000002,1.1331929116784736,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,avg_turnaround,Turnaround medio,143.47867699999998,1.1359040895404844,1000,1000,4,1,1
io_bound,I/O-bound,priority,Prioridade,avg_turnaround,Turnaround medio,143.18831,1.1338666666218433,1000,1000,4,1,1
io_bound,I/O-bound,rr,Round Robin,avg_turnaround,Turnaround medio,146.657795,1.1398254517368327,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),141.02574358999996,1.1662140009110504,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),143.285651205,1.179358565759985,1000,1000,4,1,1
io_bound,I/O-bound,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),141.062236257,1.1664264897104475,1000,1000,4,1,1
io_bound,I/O-bound,rr,Round Robin,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),146.44554405699995,1.1839649224811946,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),145.567755914,1.17370967371077,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),143.75313474100003,1.1641211836407421,1000,1000,4,1,1
io_bound,I/O-bound,priority,Prioridade,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),145.87500733499996,1.1757695249250633,1000,1000,4,1,1
io_bound,I/O-bound,rr,Round Robin,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),146.943288147,1.1684593371463636,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),context_switches,Trocas de contexto,5499.319,3.3568950301112466,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,context_switches,Trocas de contexto,5499.319,3.3568950301112466,1000,1000,4,1,1
io_bound,I/O-bound,priority,Prioridade,context_switches,Trocas de contexto,5499.319,3.3568950301112466,1000,1000,4,1,1
io_bound,I/O-bound,rr,Round Robin,context_switches,Trocas de contexto,6029.774,4.176368272840506,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),jain_slowdown,Indice de Jain do slowdown (%),70.12642986,0.35693750762914467,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,jain_slowdown,Indice de Jain do slowdown (%),70.26500504,0.35787734011959776,1000,1000,4,1,1
io_bound,I/O-bound,priority,Prioridade,jain_slowdown,Indice de Jain do slowdown (%),70.13846065,0.3565901483734474,1000,1000,4,1,1
io_bound,I/O-bound,rr,Round Robin,jain_slowdown,Indice de Jain do slowdown (%),71.01471067,0.35570947670254505,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),7.441861865000001,0.17204979597313974,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),7.5447166459999995,0.1727910791985215,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,priority,Prioridade,avg_slowdown,Slowdown medio (auxiliar),8.920693315000001,0.23519611275985547,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,rr,Round Robin,avg_slowdown,Slowdown medio (auxiliar),50.334427957,1.2563375796261524,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround,Turnaround medio,305.310067,6.894920539483023,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,fcfs,FCFS,avg_turnaround,Turnaround medio,305.12961,6.875886156610558,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,priority,Prioridade,avg_turnaround,Turnaround medio,265.60546300000004,5.449183672365086,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,rr,Round Robin,avg_turnaround,Turnaround medio,2255.078127,57.30028212690082,1000,1000,4,1,1
