scenario_label,Algoritmo proprio (Aging+Rajada Estimada),FCFS,Prioridade,Round Robin
Aleatorio equilibrado,3002.369 +/- 2.768,3002.369 +/- 2.768,3002.369 +/- 2.768,9254.694 +/- 11.685
CPU-bound,1999.862 +/- 1.602,1999.862 +/- 1.602,1999.862 +/- 1.602,13093.809 +/- 16.115
I/O-bound,5499.319 +/- 3.357,5499.319 +/- 3.357,5499.319 +/- 3.357,6029.774 +/- 4.176
Prioridades desbalanceadas,3000.866 +/- 2.724,3000.866 +/- 2.724,3000.866 +/- 2.724,9248.703 +/- 11.864
