scenario_label,0.005,0.05,0.5
Aleatorio equilibrado,643.487 +/- 17.143,421.997 +/- 8.331,318.755 +/- 7.201
CPU-bound,540.257 +/- 11.257,380.426 +/- 6.040,306.532 +/- 5.352
I/O-bound,145.549 +/- 1.173,145.568 +/- 1.174,145.185 +/- 1.171
Prioridades desbalanceadas,964.254 +/- 27.613,505.404 +/- 9.052,327.381 +/- 6.963
