scenario_label,0.005,0.05,0.5
Aleatorio equilibrado,86.585 +/- 0.479,196.726 +/- 6.073,292.605 +/- 7.178
CPU-bound,151.004 +/- 2.075,234.641 +/- 4.857,288.305 +/- 5.352
I/O-bound,141.022 +/- 1.167,141.026 +/- 1.166,141.354 +/- 1.168
Prioridades desbalanceadas,180.394 +/- 3.691,270.039 +/- 6.607,301.238 +/- 6.898
